-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                 Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------
TBackward                            0.41%            2.184ms          0.50%            2.673ms          36.616us         0.07%            637.773us        8.737us          73
AddcmulBackward                      0.18%            975.048us        1.22%            6.576ms          263.059us        0.51%            4.901ms          196.034us        25
NativeBatchNormBackward              0.06%            331.073us        0.48%            2.567ms          102.686us        0.19%            1.778ms          71.108us         25
native_batch_norm_backward           0.41%            2.236ms          0.41%            2.236ms          89.444us         0.17%            1.630ms          65.208us         25
FusedDropoutBackward                 0.06%            350.201us        0.21%            1.120ms          30.267us         0.45%            4.286ms          115.847us        37
_masked_scale                        0.14%            769.677us        0.14%            769.677us        20.802us         0.43%            4.071ms          110.038us        37
MulBackward0                         0.56%            2.991ms          0.74%            3.987ms          166.119us        0.74%            7.022ms          292.563us        24
ErfBackward                          0.06%            339.417us        0.78%            4.223ms          351.945us        1.03%            9.857ms          821.421us        12
pow                                  0.38%            2.050ms          0.38%            2.050ms          170.845us        0.19%            1.781ms          148.392us        12
neg                                  0.04%            218.638us        0.04%            218.638us        18.220us         0.19%            1.775ms          147.885us        12
exp                                  0.10%            553.678us        0.10%            553.678us        46.140us         0.19%            1.785ms          148.737us        12
torch::autograd::CopyBackwards       0.15%            826.873us        0.18%            974.125us        20.294us         0.04%            421.820us        8.788us          48
PermuteBackward                      0.09%            478.777us        0.85%            4.566ms          95.123us         0.04%            419.875us        8.747us          48
clone                                0.49%            2.637ms          0.49%            2.637ms          54.945us         0.25%            2.382ms          49.622us         48
BmmBackward                          0.11%            589.614us        0.42%            2.258ms          94.098us         1.54%            14.641ms         610.046us        24
ExpandBackward                       0.12%            642.753us        0.12%            642.753us        13.391us         0.01%            137.219us        2.859us          48
SoftmaxBackward                      0.02%            114.574us        0.73%            3.940ms          328.345us        0.78%            7.457ms          621.395us        12
_softmax_backward_data               0.71%            3.826ms          0.71%            3.826ms          318.797us        0.77%            7.386ms          615.507us        12
TransposeBackward0                   0.05%            273.175us        0.07%            355.152us        29.596us         0.01%            104.445us        8.704us          12
EmbeddingBackward                    0.06%            324.931us        4.57%            24.643ms         8.214ms          0.11%            1.005ms          334.865us        3
embedding_backward                   0.00%            23.277us         4.51%            24.318ms         8.106ms          0.10%            987.094us        329.031us        3
embedding_dense_backward             4.51%            24.294ms         4.51%            24.294ms         8.098ms          0.10%            968.750us        322.917us        3
is_floating_point                    0.09%            469.908us        0.09%            469.908us        2.350us          0.06%            588.469us        2.942us          200
item                                 0.20%            1.078ms          1.11%            5.955ms          29.775us         0.47%            4.484ms          22.418us         200
_local_scalar_dense                  0.91%            4.877ms          0.91%            4.877ms          24.384us         0.34%            3.235ms          16.177us         200
norm                                 0.64%            3.472ms          0.64%            3.472ms          17.446us         0.55%            5.229ms          26.279us         199
mul_                                 1.74%            9.395ms          1.74%            9.395ms          15.737us         1.11%            10.600ms         17.756us         597
update_param                         2.54%            13.702ms         6.59%            35.488ms         35.488ms         3.72%            35.488ms         35.488ms         1
addcmul_                             0.45%            2.416ms          0.45%            2.416ms          12.139us         0.34%            3.267ms          16.419us         199
sqrt                                 0.54%            2.886ms          0.54%            2.886ms          14.501us         0.33%            3.105ms          15.603us         199
addcdiv_                             0.49%            2.621ms          0.49%            2.621ms          13.172us         0.42%            4.031ms          20.254us         199
detach_                              0.09%            473.732us        0.09%            473.732us        2.381us          0.06%            599.000us        3.010us          199
zero_                                0.25%            1.362ms          0.25%            1.362ms          6.843us          0.17%            1.614ms          8.109us          199
-----------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------
Self CPU time total: 538.819ms
CUDA time total: 953.122ms
